央视频道,#genre#
CCTV4美洲,http://183.11.239.36:808/hls/77/index.m3u8
CCTV6测试,http://183.11.239.36:808/hls/94/index.m3u8
CCTV11,http://183.11.239.36:808/hls/29/index.m3u8
CCTV12,http://183.11.239.36:808/hls/30/index.m3u8
“CCTV13,http://183.11.239.36:808/hls/31/index.m3u8
卫视频道,#genre#
云南卫视,http://183.11.239.36:808/hls/52/index.m3u8
内蒙古卫视,http://183.11.239.36:808/hls/60/index.m3u8
吉林延边卫视,http://183.11.239.36:808/hls/15/index.m3u8
江西卫视,http://183.11.239.36:808/hls/44/index.m3u8
河北卫视,http://183.11.239.36:808/hls/54/index.m3u8
浙江卫视,http://183.11.239.36:808/hls/37/index.m3u8
湖南卫视,http://183.11.239.36:808/hls/36/index.m3u8
西藏卫视,http://183.11.239.36:808/hls/64/index.m3u8
贵州卫视,http://183.11.239.36:808/hls/49/index.m3u8
陕西卫视,http://183.11.239.36:808/hls/58/index.m3u8
其他频道,#genre#
CETV4,http://183.11.239.36:808/hls/79/index.m3u8
CGTN阿拉伯语,http://183.11.239.36:808/hls/84/index.m3u8
中国交通,http://183.11.239.36:808/hls/172/index.m3u8
山东教育,http://183.11.239.36:808/hls/72/index.m3u8
广东影视,http://183.11.239.36:808/hls/6/index.m3u8
广东民生,http://183.11.239.36:808/hls/18/index.m3u8
第一剧场,http://183.11.239.36:808/hls/98/index.m3u8
