央视(电信),#genre#
CCTV1HD,http://106.119.250.56:8888/udp/225.1.8.1:8008
CCTV1HD,http://27.189.127.214:4022/udp/225.1.8.1:8008
CCTV1HD,http://123.180.209.104:8888/udp/225.1.8.1:8008
CCTV2HD,http://106.119.250.56:8888/udp/225.1.8.2:8084
CCTV2HD,http://27.189.127.214:4022/udp/225.1.8.2:8084
CCTV2HD,http://123.180.209.104:8888/udp/225.1.8.2:8084
CCTV3HD,http://106.119.250.56:8888/udp/225.1.8.88:8000
CCTV3HD,http://27.189.127.214:4022/udp/225.1.8.88:8000
CCTV3HD,http://123.180.209.104:8888/udp/225.1.8.88:8000
CCTV4HD,http://106.119.250.56:8888/udp/225.1.8.4:8092
CCTV4HD,http://27.189.127.214:4022/udp/225.1.8.4:8092
CCTV4HD,http://123.180.209.104:8888/udp/225.1.8.4:8092
CCTV5HD,http://106.119.250.56:8888/udp/225.1.8.89:8000
CCTV5HD,http://27.189.127.214:4022/udp/225.1.8.89:8000
CCTV5HD,http://123.180.209.104:8888/udp/225.1.8.89:8000
CCTV5⁺HD,http://106.119.250.56:8888/udp/225.1.8.20:8004
CCTV5⁺HD,http://27.189.127.214:4022/udp/225.1.8.20:8004
CCTV5⁺HD,http://123.180.209.104:8888/udp/225.1.8.20:8004
CCTV6HD,http://106.119.250.56:8888/udp/225.1.8.84:8000
CCTV6HD,http://27.189.127.214:4022/udp/225.1.8.84:8000
CCTV6HD,http://123.180.209.104:8888/udp/225.1.8.84:8000
CCTV7HD,http://106.119.250.56:8888/udp/225.1.8.7:8104
CCTV7HD,http://27.189.127.214:4022/udp/225.1.8.7:8104
CCTV7HD,http://123.180.209.104:8888/udp/225.1.8.7:8104
CCTV8HD,http://106.119.250.56:8888/udp/225.1.8.85:8000
CCTV8HD,http://27.189.127.214:4022/udp/225.1.8.85:8000
CCTV8HD,http://123.180.209.104:8888/udp/225.1.8.85:8000
CCTV9HD,http://106.119.250.56:8888/udp/225.1.8.9:8112
CCTV9HD,http://27.189.127.214:4022/udp/225.1.8.9:8112
CCTV9HD,http://123.180.209.104:8888/udp/225.1.8.9:8112
CCTV10HD,http://106.119.250.56:8888/udp/225.1.8.10:8116
CCTV10HD,http://27.189.127.214:4022/udp/225.1.8.10:8116
CCTV10HD,http://123.180.209.104:8888/udp/225.1.8.10:8116
CCTV11HD,http://106.119.250.56:8888/udp/225.1.8.73:8120
CCTV11HD,http://27.189.127.214:4022/udp/225.1.8.73:8120
CCTV11HD,http://123.180.209.104:8888/udp/225.1.8.73:8120
CCTV12HD,http://106.119.250.56:8888/udp/225.1.8.12:8124
CCTV12HD,http://27.189.127.214:4022/udp/225.1.8.12:8124
CCTV12HD,http://123.180.209.104:8888/udp/225.1.8.12:8124
CCTV13HD,http://106.119.250.56:8888/udp/225.1.8.168:8130
CCTV13HD,http://27.189.127.214:4022/udp/225.1.8.168:8130
CCTV13HD,http://123.180.209.104:8888/udp/225.1.8.168:8130
CCTV14HD,http://106.119.250.56:8888/udp/225.1.8.14:8132
CCTV14HD,http://27.189.127.214:4022/udp/225.1.8.14:8132
CCTV14HD,http://123.180.209.104:8888/udp/225.1.8.14:8132
CCTV15HD,http://106.119.250.56:8888/udp/225.1.8.74:8136
CCTV15HD,http://27.189.127.214:4022/udp/225.1.8.74:8136
CCTV15HD,http://123.180.209.104:8888/udp/225.1.8.74:8136
CCTV17HD,http://106.119.250.56:8888/udp/225.1.8.17:8144
CCTV17HD,http://27.189.127.214:4022/udp/225.1.8.17:8144
CCTV17HD,http://123.180.209.104:8888/udp/225.1.8.17:8144
CCTV1,http://106.119.250.56:8888/udp/225.1.8.101:8080
CCTV1,http://27.189.127.214:4022/udp/225.1.8.101:8080
CCTV1,http://123.180.209.104:8888/udp/225.1.8.101:8080
CCTV2,http://106.119.250.56:8888/udp/225.1.8.102:8004
CCTV2,http://27.189.127.214:4022/udp/225.1.8.102:8004
CCTV2,http://123.180.209.104:8888/udp/225.1.8.102:8004
CCTV3,http://106.119.250.56:8888/udp/225.1.8.92:8000
CCTV3,http://27.189.127.214:4022/udp/225.1.8.92:8000
CCTV3,http://123.180.209.104:8888/udp/225.1.8.92:8000
CCTV4,http://106.119.250.56:8888/udp/225.1.8.104:8216
CCTV4,http://27.189.127.214:4022/udp/225.1.8.104:8216
CCTV4,http://123.180.209.104:8888/udp/225.1.8.104:8216
CCTV5,http://106.119.250.56:8888/udp/225.1.8.93:8000
CCTV5,http://27.189.127.214:4022/udp/225.1.8.93:8000
CCTV5,http://123.180.209.104:8888/udp/225.1.8.93:8000
CCTV6,http://106.119.250.56:8888/udp/225.1.8.90:8000
CCTV6,http://27.189.127.214:4022/udp/225.1.8.90:8000
CCTV6,http://123.180.209.104:8888/udp/225.1.8.90:8000
CCTV7,http://106.119.250.56:8888/udp/225.1.8.107:8024
CCTV7,http://27.189.127.214:4022/udp/225.1.8.107:8024
CCTV7,http://123.180.209.104:8888/udp/225.1.8.107:8024
CCTV8,http://106.119.250.56:8888/udp/225.1.8.91:8000
CCTV8,http://27.189.127.214:4022/udp/225.1.8.91:8000
CCTV8,http://123.180.209.104:8888/udp/225.1.8.91:8000
CCTV9,http://106.119.250.56:8888/udp/225.1.8.109:8032
CCTV9,http://27.189.127.214:4022/udp/225.1.8.109:8032
CCTV9,http://123.180.209.104:8888/udp/225.1.8.109:8032
CCTV10,http://106.119.250.56:8888/udp/225.1.8.110:8228
CCTV10,http://27.189.127.214:4022/udp/225.1.8.110:8228
CCTV10,http://123.180.209.104:8888/udp/225.1.8.110:8228
CCTV11,http://106.119.250.56:8888/udp/225.1.8.111:8040
CCTV11,http://27.189.127.214:4022/udp/225.1.8.111:8040
CCTV11,http://123.180.209.104:8888/udp/225.1.8.111:8040
CCTV12,http://106.119.250.56:8888/udp/225.1.8.112:8232
CCTV12,http://27.189.127.214:4022/udp/225.1.8.112:8232
CCTV12,http://123.180.209.104:8888/udp/225.1.8.112:8232
CCTV13,http://106.119.250.56:8888/udp/225.1.8.113:8264
CCTV13,http://27.189.127.214:4022/udp/225.1.8.113:8264
CCTV13,http://123.180.209.104:8888/udp/225.1.8.113:8264
CCTV14,http://106.119.250.56:8888/udp/225.1.8.114:8236
CCTV14,http://27.189.127.214:4022/udp/225.1.8.114:8236
CCTV14,http://123.180.209.104:8888/udp/225.1.8.114:8236
CCTV15,http://106.119.250.56:8888/udp/225.1.8.115:8052
CCTV15,http://27.189.127.214:4022/udp/225.1.8.115:8052
CCTV15,http://123.180.209.104:8888/udp/225.1.8.115:8052
CCTV17,http://106.119.250.56:8888/udp/225.1.8.117:8064
CCTV17,http://27.189.127.214:4022/udp/225.1.8.117:8064
CCTV17,http://123.180.209.104:8888/udp/225.1.8.117:8064
CCTV13,http://106.119.250.56:8888/udp/225.1.1.10:8128
CCTV13,http://27.189.127.214:4022/udp/225.1.1.10:8128
CCTV13,http://123.180.209.104:8888/udp/225.1.1.10:8128
数字(电信),#genre#
北京影视,http://106.119.250.56:8888/udp/225.1.8.82:8000
北京影视,http://27.189.127.214:4022/udp/225.1.8.82:8000
北京影视,http://123.180.209.104:8888/udp/225.1.8.82:8000
每日影院,http://106.119.250.56:8888/udp/225.1.8.97:8002
每日影院,http://27.189.127.214:4022/udp/225.1.8.97:8002
每日影院,http://123.180.209.104:8888/udp/225.1.8.97:8002
北京IPTV淘电影,http://106.119.250.56:8888/udp/225.1.8.38:8002
北京IPTV淘电影,http://27.189.127.214:4022/udp/225.1.8.38:8002
北京IPTV淘电影,http://123.180.209.104:8888/udp/225.1.8.38:8002
聚鲨环球精选,http://106.119.250.56:8888/udp/225.1.8.58:8002
聚鲨环球精选,http://27.189.127.214:4022/udp/225.1.8.58:8002
聚鲨环球精选,http://123.180.209.104:8888/udp/225.1.8.58:8002
北京影视,http://106.119.250.56:8888/udp/225.1.8.124:8002
北京影视,http://27.189.127.214:4022/udp/225.1.8.124:8002
北京影视,http://123.180.209.104:8888/udp/225.1.8.124:8002
IPTV经典电影,http://106.119.250.56:8888/udp/225.1.8.203:9024
IPTV经典电影,http://27.189.127.214:4022/udp/225.1.8.203:9024
IPTV经典电影,http://123.180.209.104:8888/udp/225.1.8.203:9024
光影,http://106.119.250.56:8888/udp/225.1.8.244:4120
光影,http://27.189.127.214:4022/udp/225.1.8.244:4120
光影,http://123.180.209.104:8888/udp/225.1.8.244:4120
台球,http://106.119.250.56:8888/udp/225.1.8.245:4120
台球,http://27.189.127.214:4022/udp/225.1.8.245:4120
台球,http://123.180.209.104:8888/udp/225.1.8.245:4120
足球,http://106.119.250.56:8888/udp/225.1.8.249:4120
足球,http://27.189.127.214:4022/udp/225.1.8.249:4120
足球,http://123.180.209.104:8888/udp/225.1.8.249:4120
喜剧影院,http://106.119.250.56:8888/udp/225.1.8.251:4120
喜剧影院,http://27.189.127.214:4022/udp/225.1.8.251:4120
喜剧影院,http://123.180.209.104:8888/udp/225.1.8.251:4120
动作影院,http://106.119.250.56:8888/udp/225.1.8.252:4120
动作影院,http://27.189.127.214:4022/udp/225.1.8.252:4120
动作影院,http://123.180.209.104:8888/udp/225.1.8.252:4120
家庭影院,http://106.119.250.56:8888/udp/225.1.8.253:4120
家庭影院,http://27.189.127.214:4022/udp/225.1.8.253:4120
家庭影院,http://123.180.209.104:8888/udp/225.1.8.253:4120
星影,http://106.119.250.56:8888/udp/225.1.8.254:4120
星影,http://27.189.127.214:4022/udp/225.1.8.254:4120
星影,http://123.180.209.104:8888/udp/225.1.8.254:4120
聚鲨环球精选,http://106.119.250.56:8888/udp/225.1.8.67:8002
聚鲨环球精选,http://27.189.127.214:4022/udp/225.1.8.67:8002
聚鲨环球精选,http://123.180.209.104:8888/udp/225.1.8.67:8002
卫视(电信),#genre#
北京卫视,http://106.119.250.56:8888/udp/225.1.8.21:8002
北京卫视,http://27.189.127.214:4022/udp/225.1.8.21:8002
北京卫视,http://123.180.209.104:8888/udp/225.1.8.21:8002
湖南卫视,http://106.119.250.56:8888/udp/225.1.8.41:8012
湖南卫视,http://27.189.127.214:4022/udp/225.1.8.41:8012
湖南卫视,http://123.180.209.104:8888/udp/225.1.8.41:8012
黑龙江卫视,http://106.119.250.56:8888/udp/225.1.8.42:8016
黑龙江卫视,http://27.189.127.214:4022/udp/225.1.8.42:8016
黑龙江卫视,http://123.180.209.104:8888/udp/225.1.8.42:8016
深圳卫视,http://106.119.250.56:8888/udp/225.1.8.43:8020
深圳卫视,http://27.189.127.214:4022/udp/225.1.8.43:8020
深圳卫视,http://123.180.209.104:8888/udp/225.1.8.43:8020
江苏卫视,http://106.119.250.56:8888/udp/225.1.8.44:8028
江苏卫视,http://27.189.127.214:4022/udp/225.1.8.44:8028
江苏卫视,http://123.180.209.104:8888/udp/225.1.8.44:8028
东方卫视,http://106.119.250.56:8888/udp/225.1.8.45:8032
东方卫视,http://27.189.127.214:4022/udp/225.1.8.45:8032
东方卫视,http://123.180.209.104:8888/udp/225.1.8.45:8032
浙江卫视,http://106.119.250.56:8888/udp/225.1.8.46:8036
浙江卫视,http://27.189.127.214:4022/udp/225.1.8.46:8036
浙江卫视,http://123.180.209.104:8888/udp/225.1.8.46:8036
湖北卫视,http://106.119.250.56:8888/udp/225.1.8.47:8044
湖北卫视,http://27.189.127.214:4022/udp/225.1.8.47:8044
湖北卫视,http://123.180.209.104:8888/udp/225.1.8.47:8044
天津卫视,http://106.119.250.56:8888/udp/225.1.8.48:8044
天津卫视,http://27.189.127.214:4022/udp/225.1.8.48:8044
天津卫视,http://123.180.209.104:8888/udp/225.1.8.48:8044
广东卫视,http://106.119.250.56:8888/udp/225.1.8.49:8048
广东卫视,http://27.189.127.214:4022/udp/225.1.8.49:8048
广东卫视,http://123.180.209.104:8888/udp/225.1.8.49:8048
山东卫视,http://106.119.250.56:8888/udp/225.1.8.50:8052
山东卫视,http://27.189.127.214:4022/udp/225.1.8.50:8052
山东卫视,http://123.180.209.104:8888/udp/225.1.8.50:8052
辽宁卫视,http://106.119.250.56:8888/udp/225.1.8.51:8056
辽宁卫视,http://27.189.127.214:4022/udp/225.1.8.51:8056
辽宁卫视,http://123.180.209.104:8888/udp/225.1.8.51:8056
安徽卫视,http://106.119.250.56:8888/udp/225.1.8.52:8064
安徽卫视,http://27.189.127.214:4022/udp/225.1.8.52:8064
安徽卫视,http://123.180.209.104:8888/udp/225.1.8.52:8064
河北卫视,http://106.119.250.56:8888/udp/225.1.8.76:8002
河北卫视,http://27.189.127.214:4022/udp/225.1.8.76:8002
河北卫视,http://123.180.209.104:8888/udp/225.1.8.76:8002
贵州卫视,http://106.119.250.56:8888/udp/225.1.8.77:8076
贵州卫视,http://27.189.127.214:4022/udp/225.1.8.77:8076
贵州卫视,http://123.180.209.104:8888/udp/225.1.8.77:8076
东南卫视,http://106.119.250.56:8888/udp/225.1.8.79:8148
东南卫视,http://27.189.127.214:4022/udp/225.1.8.79:8148
东南卫视,http://123.180.209.104:8888/udp/225.1.8.79:8148
江西卫视,http://106.119.250.56:8888/udp/225.1.8.171:8166
江西卫视,http://27.189.127.214:4022/udp/225.1.8.171:8166
江西卫视,http://123.180.209.104:8888/udp/225.1.8.171:8166
重庆卫视,http://106.119.250.56:8888/udp/225.1.8.172:8162
重庆卫视,http://27.189.127.214:4022/udp/225.1.8.172:8162
重庆卫视,http://123.180.209.104:8888/udp/225.1.8.172:8162
北京北京卫视,http://106.119.250.56:8888/udp/225.1.8.121:8002
北京北京卫视,http://27.189.127.214:4022/udp/225.1.8.121:8002
北京北京卫视,http://123.180.209.104:8888/udp/225.1.8.121:8002
湖南卫视,http://106.119.250.56:8888/udp/225.1.8.132:8064
湖南卫视,http://27.189.127.214:4022/udp/225.1.8.132:8064
湖南卫视,http://123.180.209.104:8888/udp/225.1.8.132:8064
浙江卫视,http://106.119.250.56:8888/udp/225.1.8.133:8284
浙江卫视,http://27.189.127.214:4022/udp/225.1.8.133:8284
浙江卫视,http://123.180.209.104:8888/udp/225.1.8.133:8284
江苏卫视,http://106.119.250.56:8888/udp/225.1.8.134:8276
江苏卫视,http://27.189.127.214:4022/udp/225.1.8.134:8276
江苏卫视,http://123.180.209.104:8888/udp/225.1.8.134:8276
安徽卫视,http://106.119.250.56:8888/udp/225.1.8.135:8272
安徽卫视,http://27.189.127.214:4022/udp/225.1.8.135:8272
安徽卫视,http://123.180.209.104:8888/udp/225.1.8.135:8272
天津卫视,http://106.119.250.56:8888/udp/225.1.8.136:8144
天津卫视,http://27.189.127.214:4022/udp/225.1.8.136:8144
天津卫视,http://123.180.209.104:8888/udp/225.1.8.136:8144
辽宁卫视,http://106.119.250.56:8888/udp/225.1.8.137:8116
辽宁卫视,http://27.189.127.214:4022/udp/225.1.8.137:8116
辽宁卫视,http://123.180.209.104:8888/udp/225.1.8.137:8116
山东卫视,http://106.119.250.56:8888/udp/225.1.8.138:8148
山东卫视,http://27.189.127.214:4022/udp/225.1.8.138:8148
山东卫视,http://123.180.209.104:8888/udp/225.1.8.138:8148
云南卫视,http://106.119.250.56:8888/udp/225.1.8.139:8108
云南卫视,http://27.189.127.214:4022/udp/225.1.8.139:8108
云南卫视,http://123.180.209.104:8888/udp/225.1.8.139:8108
河南卫视,http://106.119.250.56:8888/udp/225.1.8.140:8128
河南卫视,http://27.189.127.214:4022/udp/225.1.8.140:8128
河南卫视,http://123.180.209.104:8888/udp/225.1.8.140:8128
黑龙江卫视,http://106.119.250.56:8888/udp/225.1.8.141:8196
黑龙江卫视,http://27.189.127.214:4022/udp/225.1.8.141:8196
黑龙江卫视,http://123.180.209.104:8888/udp/225.1.8.141:8196
四川卫视,http://106.119.250.56:8888/udp/225.1.8.142:8288
四川卫视,http://27.189.127.214:4022/udp/225.1.8.142:8288
四川卫视,http://123.180.209.104:8888/udp/225.1.8.142:8288
江西卫视,http://106.119.250.56:8888/udp/225.1.8.143:8280
江西卫视,http://27.189.127.214:4022/udp/225.1.8.143:8280
江西卫视,http://123.180.209.104:8888/udp/225.1.8.143:8280
贵州卫视,http://106.119.250.56:8888/udp/225.1.8.144:8120
贵州卫视,http://27.189.127.214:4022/udp/225.1.8.144:8120
贵州卫视,http://123.180.209.104:8888/udp/225.1.8.144:8120
深圳卫视,http://106.119.250.56:8888/udp/225.1.8.145:9244
深圳卫视,http://27.189.127.214:4022/udp/225.1.8.145:9244
深圳卫视,http://123.180.209.104:8888/udp/225.1.8.145:9244
湖北卫视,http://106.119.250.56:8888/udp/225.1.8.146:8136
湖北卫视,http://27.189.127.214:4022/udp/225.1.8.146:8136
湖北卫视,http://123.180.209.104:8888/udp/225.1.8.146:8136
东方卫视,http://106.119.250.56:8888/udp/225.1.8.147:8192
东方卫视,http://27.189.127.214:4022/udp/225.1.8.147:8192
东方卫视,http://123.180.209.104:8888/udp/225.1.8.147:8192
重庆卫视,http://106.119.250.56:8888/udp/225.1.8.148:8296
重庆卫视,http://27.189.127.214:4022/udp/225.1.8.148:8296
重庆卫视,http://123.180.209.104:8888/udp/225.1.8.148:8296
东南卫视,http://106.119.250.56:8888/udp/225.1.8.149:8112
东南卫视,http://27.189.127.214:4022/udp/225.1.8.149:8112
东南卫视,http://123.180.209.104:8888/udp/225.1.8.149:8112
河北卫视,http://106.119.250.56:8888/udp/225.1.8.150:8292
河北卫视,http://27.189.127.214:4022/udp/225.1.8.150:8292
河北卫视,http://123.180.209.104:8888/udp/225.1.8.150:8292
广东卫视,http://106.119.250.56:8888/udp/225.1.8.151:8132
广东卫视,http://27.189.127.214:4022/udp/225.1.8.151:8132
广东卫视,http://123.180.209.104:8888/udp/225.1.8.151:8132
南方卫视,http://106.119.250.56:8888/udp/225.1.8.225:5008
南方卫视,http://27.189.127.214:4022/udp/225.1.8.225:5008
南方卫视,http://123.180.209.104:8888/udp/225.1.8.225:5008
广西卫视,http://106.119.250.56:8888/udp/225.1.8.152:8300
广西卫视,http://27.189.127.214:4022/udp/225.1.8.152:8300
广西卫视,http://123.180.209.104:8888/udp/225.1.8.152:8300
吉林卫视,http://106.119.250.56:8888/udp/225.1.8.153:8200
吉林卫视,http://27.189.127.214:4022/udp/225.1.8.153:8200
吉林卫视,http://123.180.209.104:8888/udp/225.1.8.153:8200
陕西卫视,http://106.119.250.56:8888/udp/225.1.8.154:8140
陕西卫视,http://27.189.127.214:4022/udp/225.1.8.154:8140
陕西卫视,http://123.180.209.104:8888/udp/225.1.8.154:8140
山西卫视,http://106.119.250.56:8888/udp/225.1.8.155:8172
山西卫视,http://27.189.127.214:4022/udp/225.1.8.155:8172
山西卫视,http://123.180.209.104:8888/udp/225.1.8.155:8172
内蒙古卫视,http://106.119.250.56:8888/udp/225.1.8.156:8176
内蒙古卫视,http://27.189.127.214:4022/udp/225.1.8.156:8176
内蒙古卫视,http://123.180.209.104:8888/udp/225.1.8.156:8176
青海卫视,http://106.119.250.56:8888/udp/225.1.8.157:8184
青海卫视,http://27.189.127.214:4022/udp/225.1.8.157:8184
青海卫视,http://123.180.209.104:8888/udp/225.1.8.157:8184
海南卫视,http://106.119.250.56:8888/udp/225.1.8.158:8304
海南卫视,http://27.189.127.214:4022/udp/225.1.8.158:8304
海南卫视,http://123.180.209.104:8888/udp/225.1.8.158:8304
宁夏卫视,http://106.119.250.56:8888/udp/225.1.8.159:8124
